Project,GitHub_URL,NVIDIA_Official,Owner_Type,Primary_Goal,Access_Initiator,Orchestrator,Data_Mover,Final_Consumer,Access_API_Type,Memory_Semantic,GPU_Direct_Data_Path,CPU_Bounce_Buffer_Removed,On_Demand_Faulting,Prefetch_or_Cache,Granularity,Read_Support,Write_Support,Production_vs_Research,Confidence,Key_Evidence
GDS (gds-nvidia-fs),https://github.com/NVIDIA/gds-nvidia-fs,Confirmed Yes,NVIDIA,NVMe-to-GPU direct DMA (CPU-initiated),CPU thread (cuFile API),CPU (VFS + NVMe driver),NVMe DMA engine (P2P to GPU BAR1),GPU kernel,Block I/O API (cuFileRead/Write),Confirmed No,Confirmed Yes,Confirmed Yes (O_DIRECT),Confirmed No,Confirmed No (bypasses page cache),32KB~MB (bulk),Confirmed Yes,Confirmed Yes,Production,High,"nvfs-dma.c SGL remap; nvfs-core.c ioctl; O_DIRECT enforced"
BaM,https://github.com/ZaidQureshi/bam,Confirmed No,NVIDIA+IBM+UIUC research collab,GPU-initiated on-demand SSD access (memory semantic),GPU thread/warp,GPU runtime (page_cache_t + QueuePair),NVMe DMA engine (P2P to GPU memory),GPU thread,Memory semantic (operator[] / bam_ptr<T>),Confirmed Yes,Confirmed Yes,Confirmed Yes (no CPU in data path),Confirmed Yes (cache miss triggers NVMe fetch),Confirmed Yes (GPU SW cache with clock eviction),512B~4KB (fine-grained),Confirmed Yes,Confirmed Yes,Research prototype,High,"page_cache.h operator[]; nvm_parallel_queue.h sq_enqueue PTX MMIO; module/map.c nvidia_p2p_get_pages"
GIDS,https://github.com/jeongminpark417/GIDS,Confirmed No,Academic (BaM-based),GNN dataloader with GPU-initiated SSD access,GPU thread/warp (via BaM),GPU runtime (BaM) + GIDS scheduler,NVMe DMA engine (P2P via BaM),GPU thread (DGL GNN kernel),Memory semantic (bam_ptr<T>::read()),Confirmed Yes,Confirmed Yes,Confirmed Yes,Confirmed Yes (BaM cache miss),Confirmed Yes (3-tier: GPU cache + CPU buffer + SSD),Page-level (BaM) with node-level logic,Confirmed Yes,Likely No,Research prototype,High,"BaM submodule; read_feature_kernel with bam_ptr; GIDS_CPU_buffer; arXiv:2306.16384"
KvikIO,https://github.com/rapidsai/kvikio,Likely Yes (RAPIDS/NVIDIA),NVIDIA-affiliated (RAPIDS),High-perf file I/O with GDS bindings,CPU thread (Python/C++ API),CPU (thread pool + cuFile),NVMe DMA engine (via GDS P2P) or CPU memcpy fallback,GPU kernel / RAPIDS pipeline,File I/O API (pread/pwrite-style),Confirmed No,Confirmed Yes (when GDS available),Confirmed Yes (GDS path) / No (fallback),Confirmed No,Confirmed No,Variable (cuFile granularity),Confirmed Yes,Confirmed Yes,Production,High,"file_handle.hpp cuFile integration; posix_io.hpp bounce buffer fallback; cufile.hpp dlopen shim"
DeepSpeed ZeRO-Infinity,https://github.com/deepspeedai/DeepSpeed,Confirmed No,Microsoft/DeepSpeed AI,Offload optimizer states/gradients/params to NVMe,CPU thread (Python runtime),CPU (DeepSpeed engine + aio),CPU DMA to DRAM then cudaMemcpy to GPU,GPU (PyTorch training kernel),File I/O + cudaMemcpy,Likely No (block I/O + explicit copy),Confirmed No (CPU DRAM bounce),Confirmed No (uses CPU bounce buffer),Confirmed No (explicit prefetch),Confirmed Yes (CPU-side prefetch + pinned memory),Tensor-level (MB~GB),Confirmed Yes,Confirmed Yes,Production,High,"ZeRO-Infinity paper SC'21; aio_handle for NVMe; pin_memory + cuda copy"
FlashNeuron,https://github.com/SNU-ARC/flashneuron,Confirmed No,Seoul National Univ (academic),DNN tensor offload GPU↔SSD,CPU thread (PyTorch runtime),CPU (modified PyTorch allocator),CPU DMA (SSD→DRAM) + cudaMemcpy (DRAM→GPU),GPU (training kernel),Modified allocator API,Likely No (explicit swap),Confirmed No (CPU mediated),Confirmed No (CPU DRAM bounce),Confirmed No (proactive offload),Confirmed Yes (compression + proactive swap),Tensor-level (MB~GB),Confirmed Yes,Confirmed Yes,Research prototype,Medium,"Modified PyTorch memory allocator; SSD offload with compression; ATC'21 paper"
gdrcopy,https://github.com/NVIDIA/gdrcopy,Confirmed Yes,NVIDIA,Low-latency CPU↔GPU memory copy via BAR1,CPU thread,CPU,CPU load/store through BAR1 mapping,CPU thread or GPU (indirect),Memory-mapped BAR API,Confirmed No (CPU→GPU only),Confirmed No (CPU-mediated),N/A (no SSD involved),Confirmed No,Confirmed No,64B~MB,Confirmed Yes,Confirmed Yes,Production,High,"gdrdrv.c nvidia_p2p_get_pages + io_remap_pfn_range; CPU WC/cached BAR mapping"
MagnumIO,https://github.com/NVIDIA/MagnumIO,Confirmed Yes,NVIDIA,Umbrella framework for GPU I/O,N/A (framework),N/A,N/A,N/A,N/A (examples + docs),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Framework/Examples,Medium,"GDS examples; documentation hub; no unique abstraction"
GPUfs,https://github.com/gpufs/gpufs,Confirmed No,Academic,GPU-kernel POSIX-like file API,GPU thread,GPU runtime + CPU helper,CPU-mediated DMA,GPU thread,POSIX-like file API from GPU kernel,Likely Yes (file ops from GPU),Likely No (CPU mediates DMA),Likely No,Likely Yes (on-access file fetch),Likely Yes (GPU-side buffer cache),Page-level,Confirmed Yes,Confirmed Yes,Research prototype,Medium,"ASPLOS'13 paper; GPU kernel file open/read/write; precursor to BaM concepts"
gdsllm,https://github.com/rscunha13/gdsllm,Confirmed No,Individual/community,LLM weight streaming NVMe→VRAM via GDS,CPU thread (GDS cuFile),CPU (inference scheduler),NVMe DMA engine (via GDS P2P),GPU (LLM inference kernel),cuFile API (GDS-based),Confirmed No (explicit streaming),Confirmed Yes (GDS path),Confirmed Yes (GDS path),Confirmed No (scheduled prefetch),Confirmed Yes (weight prefetch pipeline),Layer-level (MB~GB per weight tensor),Confirmed Yes,Likely No,Experimental,Medium-Low,"GDS cuFile for weight loading; layer-by-layer streaming to VRAM"
